Date,Close
2013-10-01,123.655
2013-10-02,125.455
2013-10-03,108.5848
2013-10-04,118.6747
2013-10-05,121.3387
2013-10-06,120.6553
2013-10-07,121.795
2013-10-08,123.033
2013-10-09,124.049
2013-10-10,125.9612
2013-10-11,125.2797
2013-10-12,125.9275
2013-10-13,126.3833
2013-10-14,135.242
2013-10-15,133.2033
2013-10-16,142.7633
2013-10-17,137.9233
2013-10-18,142.9517
2013-10-19,152.5518
2013-10-20,160.3388
2013-10-21,164.315
2013-10-22,177.6333
2013-10-23,188.2972
2013-10-24,200.7017
2013-10-25,180.355
2013-10-26,175.0317
2013-10-27,177.6965
2013-10-28,187.1598
2013-10-29,192.7567
2013-10-30,197.4
2013-10-31,196.025
2013-11-01,198.0488
2013-11-02,198.9323
2013-11-03,200.543
2013-11-04,210.3075
2013-11-05,225.02
2013-11-06,248.2533
2013-11-07,262.3267
2013-11-08,294.487
2013-11-09,331.1033
2013-11-10,285.8875
2013-11-11,304.9797
2013-11-12,338.137
2013-11-13,357.48
2013-11-14,402.954
2013-11-15,409.1038
2013-11-16,420.2165
2013-11-17,437.2973
2013-11-18,510.6025
2013-11-19,693.65
2013-11-20,531.5425
2013-11-21,574.716
2013-11-22,681.33
2013-11-23,774.18
2013-11-24,746.1937
2013-11-25,768.8475
2013-11-26,789.3648
2013-11-27,893.1815
2013-11-28,934.355
2013-11-29,1068.363
2013-11-30,1154.9259
2013-12-01,1099.5193
2013-12-02,1019.7897
2013-12-03,1028.845
2013-12-04,1071.2848
2013-12-05,1139.3308
2013-12-06,1004.6163
2013-12-07,759.4304
2013-12-08,689.81
2013-12-09,841.8397
2013-12-10,916.776
2013-12-11,967.4287
2013-12-12,866.29
2013-12-13,911.232
2013-12-14,889.8195
2013-12-15,848.9975
2013-12-16,868.9532
2013-12-17,653.8048
2013-12-18,654.0627
2013-12-19,553.6917
2013-12-20,693.0588
2013-12-21,649.3897
2013-12-22,595.9588
2013-12-23,647.6832
2013-12-24,671.5812
2013-12-25,659.8433
2013-12-26,702.0008
2013-12-27,758.0102
2013-12-28,734.0117
2013-12-29,717.9262
2013-12-30,752.8202
2013-12-31,744.1725
2014-01-01,768.4078
2014-01-02,769.0985
2014-01-03,804.0272
2014-01-04,813.3175
2014-01-05,871.1158
2014-01-06,970.6508
2014-01-07,962.4645
2014-01-08,855.7593
2014-01-09,860.8417
2014-01-10,847.5325
2014-01-11,892.2612
2014-01-12,916.6967
2014-01-13,873.2717
2014-01-14,863.6989
2014-01-15,853.2567
2014-01-16,874.0742
2014-01-17,842.1917
2014-01-18,834.8667
2014-01-19,838.4292
2014-01-20,881.8758
2014-01-21,873.2892
2014-01-22,874.1327
2014-01-23,864.5612
2014-01-24,838.15
2014-01-25,834.5742
2014-01-26,858.1264
2014-01-27,887.0834
2014-01-28,830.5313
2014-01-29,832.895
2014-01-30,832.874
2014-01-31,841.4891
2014-02-01,847.3638
2014-02-02,854.7225
2014-02-03,856.0337
2014-02-04,847.707
2014-02-05,844.2884
2014-02-06,802.7533
2014-02-07,748.4356
2014-02-08,692.6691
2014-02-09,668.8646
2014-02-10,700.4484
2014-02-11,694.3125
2014-02-12,665.7975
2014-02-13,645.615
2014-02-14,578.4125
2014-02-15,641.91
2014-02-16,656.2725
2014-02-17,611.045
2014-02-18,634.99
2014-02-19,618.79
2014-02-20,619.8425
2014-02-21,545.7625
2014-02-22,561.535
2014-02-23,622.22
2014-02-24,572.7675
2014-02-25,501.155
2014-02-26,550.6025
2014-02-27,573.1025
2014-02-28,567.2925
2014-03-01,551.73
2014-03-02,560.195
2014-03-03,567.7
2014-03-04,666.1475
2014-03-05,660.84
2014-03-06,662.0225
2014-03-07,651.285
2014-03-08,612.33
2014-03-09,611.1625
2014-03-10,637.615
2014-03-11,626.0
2014-03-12,633.7475
2014-03-13,631.755
2014-03-14,636.4141
2014-03-15,628.1875
2014-03-16,632.9533
2014-03-17,630.3483
2014-03-18,617.2433
2014-03-19,616.8667
2014-03-20,601.015
2014-03-21,581.3333
2014-03-22,570.3617
2014-03-23,562.9533
2014-03-24,557.1683
2014-03-25,573.35
2014-03-26,572.4916
2014-03-27,570.5483
2014-03-28,509.7067
2014-03-29,499.25
2014-03-30,486.8085
2014-03-31,472.4783
2014-04-01,464.88
2014-04-02,480.1658
2014-04-03,427.875
2014-04-04,432.9972
2014-04-05,453.8715
2014-04-06,462.445
2014-04-07,456.4695
2014-04-08,452.81
2014-04-09,450.4808
2014-04-10,426.9833
2014-04-11,374.5917
2014-04-12,438.2467
2014-04-13,423.5157
2014-04-14,409.0317
2014-04-15,455.2832
2014-04-16,517.0967
2014-04-17,522.455
2014-04-18,490.8785
2014-04-19,469.3833
2014-04-20,507.8066
2014-04-21,505.0967
2014-04-22,497.65
2014-04-23,487.84
2014-04-24,487.1133
2014-04-25,469.0882
2014-04-26,448.7783
2014-04-27,452.1483
2014-04-28,426.7817
2014-04-29,432.605
2014-04-30,444.8567
2014-05-01,454.5567
2014-05-02,453.5983
2014-05-03,441.9783
2014-05-04,438.2904
2014-05-05,432.7875
2014-05-06,418.6183
2014-05-07,428.4259
2014-05-08,442.5767
2014-05-09,439.04
2014-05-10,449.0433
2014-05-11,449.7417
2014-05-12,434.27
2014-05-13,437.0
2014-05-14,438.88
2014-05-15,445.045
2014-05-16,443.18
2014-05-17,445.6067
2014-05-18,445.1567
2014-05-19,444.7383
2014-05-20,455.6533
2014-05-21,489.87
2014-05-22,490.1867
2014-05-23,522.31
2014-05-24,512.3083
2014-05-25,533.93
2014-05-26,579.5933
2014-05-27,581.51
2014-05-28,572.4483
2014-05-29,562.4
2014-05-30,571.845
2014-05-31,612.1267
2014-06-01,638.1633
2014-06-02,634.9833
2014-06-03,660.2467
2014-06-04,627.7983
2014-06-05,642.8917
2014-06-06,652.5267
2014-06-07,648.6017
2014-06-08,652.5917
2014-06-09,652.11
2014-06-10,644.085
2014-06-11,642.0067
2014-06-12,632.55
2014-06-13,585.4833
2014-06-14,588.5233
2014-06-15,570.2883
2014-06-16,589.0667
2014-06-17,592.2567
2014-06-18,610.4133
2014-06-19,601.8867
2014-06-20,594.0933
2014-06-21,582.045
2014-06-22,599.57
2014-06-23,592.405
2014-06-24,584.6417
2014-06-25,575.905
2014-06-26,571.7667
2014-06-27,582.4317
2014-06-28,597.6683
2014-06-29,598.7333
2014-06-30,597.5133
2014-07-01,647.1225
2014-07-02,637.8563
2014-07-03,642.6513
2014-07-04,643.9512
2014-07-05,628.4163
2014-07-06,631.03
2014-07-07,631.2988
2014-07-08,621.2425
2014-07-09,620.72
2014-07-10,621.3075
2014-07-11,616.8312
2014-07-12,634.3575
2014-07-13,627.69
2014-07-14,621.425
2014-07-15,618.7388
2014-07-16,619.8075
2014-07-17,614.6888
2014-07-18,623.4975
2014-07-19,623.9963
2014-07-20,623.0063
2014-07-21,617.9612
2014-07-22,622.1075
2014-07-23,618.4475
2014-07-24,617.6875
2014-07-25,602.9313
2014-07-26,597.585
2014-07-27,592.9638
2014-07-28,580.11
2014-07-29,585.4488
2014-07-30,580.5175
2014-07-31,564.57
2014-08-01,583.39
2014-08-02,593.8063
2014-08-03,581.52
2014-08-04,585.8013
2014-08-05,582.3338
2014-08-06,582.5213
2014-08-07,583.6238
2014-08-08,595.8088
2014-08-09,585.3963
2014-08-10,586.0588
2014-08-11,588.7525
2014-08-12,566.3163
2014-08-13,565.5513
2014-08-14,534.54
2014-08-15,511.4725
2014-08-16,487.5663
2014-08-17,516.6263
2014-08-18,489.4675
2014-08-19,455.9163
2014-08-20,472.91
2014-08-21,519.015
2014-08-22,508.1288
2014-08-23,507.51
2014-08-24,501.6313
2014-08-25,503.3213
2014-08-26,504.6263
2014-08-27,513.3913
2014-08-28,514.6238
2014-08-29,506.025
2014-08-30,504.7063
2014-08-31,502.055
2014-09-01,474.5425
2014-09-02,477.9838
2014-09-03,476.8838
2014-09-04,475.65
2014-09-05,485.6513
2014-09-06,480.9075
2014-09-07,481.8838
2014-09-08,473.5863
2014-09-09,468.5775
2014-09-10,474.2913
2014-09-11,479.4175
2014-09-12,473.6725
2014-09-13,471.5325
2014-09-14,475.3788
2014-09-15,475.0213
2014-09-16,471.0838
2014-09-17,464.5538
2014-09-18,449.9588
2014-09-19,425.4475
2014-09-20,410.08
2014-09-21,405.7963
2014-09-22,399.0975
2014-09-23,399.5025
2014-09-24,427.8125
2014-09-25,416.12
2014-09-26,410.15
2014-09-27,403.4975
2014-09-28,398.84
2014-09-29,377.9788
2014-09-30,376.0838
2014-10-01,387.94
2014-10-02,381.7475
2014-10-03,372.0575
2014-10-04,360.7525
2014-10-05,335.9813
2014-10-06,308.0788
2014-10-07,337.2338
2014-10-08,326.2325
2014-10-09,351.3463
2014-10-10,368.5963
2014-10-11,359.2025
2014-10-12,356.9988
2014-10-13,371.1563
2014-10-14,392.7825
2014-10-15,396.3463
2014-10-16,392.5663
2014-10-17,376.2688
2014-10-18,378.675
2014-10-19,390.9588
2014-10-20,381.7238
2014-10-21,380.0575
2014-10-22,382.9388
2014-10-23,376.59
2014-10-24,351.7825
2014-10-25,353.6325
2014-10-26,345.1925
2014-10-27,350.9775
2014-10-28,349.7963
2014-10-29,348.9025
2014-10-30,335.5363
2014-10-31,343.5588
2014-11-01,338.0105
2014-11-02,325.2263
2014-11-03,331.6008
2014-11-04,324.7183
2014-11-05,332.4567
2014-11-06,336.585
2014-11-07,346.775
2014-11-08,344.8117
2014-11-09,343.065
2014-11-10,358.5017
2014-11-11,368.0767
2014-11-12,376.9967
2014-11-13,442.1067
2014-11-14,389.0033
2014-11-15,394.9267
2014-11-16,377.08
2014-11-17,400.4717
2014-11-18,384.93
2014-11-19,375.8333
